Gaelic,English
an,the
a,a
ar,on
na,the
agus,and
ag,at
go,to
i,i
le,with
seo,this
sé,he
leis,with him
is,is
atá,which is
sa,in the
sin,that
é,it
mar,as
de,of
Tá,Yes
bhfuil,is
do,for
bhí,was
in,in
ach,but
Is,Is
chun,to
tá,yes
ó,from
ann,there
faoi,about
raibh,yes
eile,another
nó,or
as,off
á,is
nach,not
gur,that
féin,own
Gaeilge,Irish
ina,in her
bheith,be
mé,me
don,don
siad,they
Ní,No
aon,any
chur,put
ní,no
Bhí,Was
ná,don't
iad,them
den,of
dhéanamh,do
tú,you
acu,at them
san,there
anuas,down
nuair,when
blianta,years
amach,out
gach,each
níos,more
fáil,destiny
An,The
daoine,people
sí,she
mór,big
duine,a person
dá,two
maith,good
Ó,Oh
údar,author
féidir,can
chuid,part
close,close
rud,thing
Apr,April
Gluais,Glossary
air,on him
phearsanta,personal
bailiú,collection
Pota,Pot
Focal,Word
tsuímh,sites
amháin,only
sna,in the
Ach,But
dul,go
obair,work
gan,without
Ghaeilge,Irish
aige,by him
ón,from the
chéile,together
mbeadh,would
mó,more
chomh,so
cur,put
idir,between
ba,was
anois,now
faoin,about
scoláirí,students
am,time
lá,day
focal,word
isteach,in
fad,length
nua,new
teanga,language
leo,with them
liom,with me
í,her
mo,my
leor,enough
lena,with
dtí,to
áit,place
uair,once
úsáid,use
agam,I have
linn,us
Agus,And
cinn,ones
thabhairt,give
trí,through
bith,be
láthair,present
chéad,first
bliain,year
Níl,No
scoil,school
Mar,As
leith,respect
teacht,come
Ba,It was
againn,we
scoile,school
I,I
beag,little
orthu,on them
bhliain,year
aghaidh,face
cuid,some
rá,say
Éirinn,Ireland
mbeidh,will be
maidir,regarding
anseo,here
níl,no
Ar,Ar
scéal,story
Tue,Tue
deireadh,end
gceist,question
léir,all
bhíonn,there is
hÉireann,Ireland
lucht,charge
saol,life
agat,at you
fháil,get
leat,with you
bliana,year
dhá,two
réir,according to
roinnt,some
chuig,to
síos,down
mhaith,good
muid,we
iarraidh,to ask
múinteoirí,teachers
éagsúla,different
bheadh,would
freisin,too
gcuid,part
má,if
chuir,put
Má,If
ansin,then
dó,him
dóibh,to them
tír,country
ranganna,classes
